date,side,entry_dt,exit_dt,entry,exit,sl,target,pnl,tag,gap_pct
2026-05-06,short,2026-05-06 09:15:00+05:30,2026-05-06 10:00:00+05:30,24171.0,24111.58,24221.0,24111.58,49.42,tgt,0.49
2026-05-14,short,2026-05-14 09:15:00+05:30,2026-05-14 09:25:00+05:30,23530.25,23580.25,23580.25,23479.47,-60.0,sl,0.43
2026-05-21,short,2026-05-21 09:15:00+05:30,2026-05-21 09:30:00+05:30,23830.05,23747.1,23880.05,23747.1,72.95,tgt,0.7
2026-05-25,short,2026-05-25 09:15:00+05:30,2026-05-25 10:40:00+05:30,23940.25,23990.25,23990.25,23844.55,-60.0,sl,0.81
2026-06-09,short,2026-06-09 09:15:00+05:30,2026-06-09 09:45:00+05:30,23259.05,23181.38,23309.05,23181.38,67.67,tgt,0.67
2026-06-12,short,2026-06-12 09:15:00+05:30,2026-06-12 13:35:00+05:30,23412.55,23462.55,23462.55,23299.55,-60.0,sl,0.97
2026-06-15,short,2026-06-15 09:15:00+05:30,2026-06-15 15:20:00+05:30,23984.85,23856.85,24034.85,23808.3,118.0,eod,1.49
2026-06-25,short,2026-06-25 09:15:00+05:30,2026-06-25 09:50:00+05:30,24125.85,24175.85,24175.85,24069.5,-60.0,sl,0.47
2026-07-03,short,2026-07-03 09:15:00+05:30,2026-07-03 14:20:00+05:30,24375.65,24271.8,24425.65,24271.8,93.85,tgt,0.86
2026-07-10,short,2026-07-10 09:15:00+05:30,2026-07-10 09:20:00+05:30,24125.05,24175.05,24175.05,24053.47,-60.0,sl,0.6
2026-07-27,short,2026-07-27 09:15:00+05:30,2026-07-27 14:00:00+05:30,23929.5,23979.5,23979.5,23848.47,-60.0,sl,0.68
2026-07-29,short,2026-07-29 09:15:00+05:30,2026-07-29 10:35:00+05:30,24188.05,24238.05,24238.05,24086.7,-60.0,sl,0.85
2026-08-03,short,2026-08-03 09:15:00+05:30,2026-08-03 15:20:00+05:30,24568.0,24573.35,24618.0,24475.8,-15.35,eod,0.76
2026-08-20,short,2026-08-20 09:15:00+05:30,2026-08-20 15:20:00+05:30,24225.2,24211.6,24275.2,24151.75,3.6,eod,0.61
